paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
172,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,1e-05,1e-05
173,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,1e-05,0.001
174,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,1e-05,1.0
175,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.001,1e-05
176,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.001,0.001
177,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.001,1.0
178,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.1,1e-05
179,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.1,0.001
180,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.1,1.0
181,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,1e-05,1e-05
182,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,1e-05,0.001
183,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,1e-05,1.0
184,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.001,1e-05
185,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.001,0.001
186,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.001,1.0
187,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.1,1e-05
